filename,loc_physical,loc,cc,fan_in,fan_out
tests/migrations/migrations_test_apps/lookuperror_a/migrations/0002_a2.py,24,21,1,0,1
tests/migrations/migrations_test_apps/lookuperror_a/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/lookuperror_a/migrations/0003_a3.py,28,25,1,0,1
tests/migrations/migrations_test_apps/lookuperror_a/migrations/0001_initial.py,22,19,1,0,1
tests/migrations/migrations_test_apps/lookuperror_a/migrations/0004_a4.py,24,21,1,0,1
tests/migrations/migrations_test_apps/conflicting_app_with_dependencies/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/conflicting_app_with_dependencies/migrations/0002_second.py,20,17,1,0,1
tests/migrations/migrations_test_apps/conflicting_app_with_dependencies/migrations/0002_conflicting_second.py,16,13,1,0,1
tests/migrations/migrations_test_apps/conflicting_app_with_dependencies/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/conflicting_app_with_dependencies/migrations/0001_initial.py,23,21,1,0,1
tests/migrations/migrations_test_apps/migrated_unapplied_app/models.py,12,9,1,0,1
tests/migrations/migrations_test_apps/migrated_unapplied_app/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/migrated_unapplied_app/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/migrated_unapplied_app/migrations/0001_initial.py,16,14,1,0,1
tests/migrations/migrations_test_apps/unmigrated_app_syncdb/models.py,9,5,1,0,1
tests/migrations/migrations_test_apps/unmigrated_app_syncdb/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/without_init_file/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/alter_fk/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/alter_fk/author_app/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/alter_fk/author_app/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/alter_fk/author_app/migrations/0002_alter_id.py,16,13,1,0,1
tests/migrations/migrations_test_apps/alter_fk/author_app/migrations/0001_initial.py,20,17,1,0,1
tests/migrations/migrations_test_apps/alter_fk/book_app/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/alter_fk/book_app/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/alter_fk/book_app/migrations/0001_initial.py,23,20,1,0,1
tests/migrations/migrations_test_apps/unmigrated_app/models.py,7,5,1,0,1
tests/migrations/migrations_test_apps/unmigrated_app/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/mutate_state_b/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/mutate_state_b/migrations/0002_add_field.py,20,17,1,0,1
tests/migrations/migrations_test_apps/mutate_state_b/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/mutate_state_b/migrations/0001_initial.py,27,24,1,0,1
tests/migrations/migrations_test_apps/unmigrated_app_simple/models.py,10,3,2,0,1
tests/migrations/migrations_test_apps/unmigrated_app_simple/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/lookuperror_c/models.py,13,7,1,0,1
tests/migrations/migrations_test_apps/lookuperror_c/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/lookuperror_c/migrations/0002_c2.py,26,23,1,0,1
tests/migrations/migrations_test_apps/lookuperror_c/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/lookuperror_c/migrations/0003_c3.py,24,21,1,0,1
tests/migrations/migrations_test_apps/lookuperror_c/migrations/0001_initial.py,22,19,1,0,1
tests/migrations/migrations_test_apps/lookuperror_b/models.py,13,7,1,0,1
tests/migrations/migrations_test_apps/lookuperror_b/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/lookuperror_b/migrations/0002_b2.py,26,23,1,0,1
tests/migrations/migrations_test_apps/lookuperror_b/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/lookuperror_b/migrations/0003_b3.py,24,21,1,0,1
tests/migrations/migrations_test_apps/lookuperror_b/migrations/0001_initial.py,22,19,1,0,1
tests/migrations/migrations_test_apps/with_generic_model/models.py,36,14,1,0,2
tests/migrations/migrations_test_apps/with_generic_model/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/with_generic_model/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/with_generic_model/migrations/0002_customgenericmodel.py,31,26,1,0,2
tests/migrations/migrations_test_apps/with_generic_model/migrations/0001_initial.py,40,36,1,0,2
tests/migrations/migrations_test_apps/normal/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/migrated_app/models.py,0,0,1,0,0
tests/migrations/migrations_test_apps/migrated_app/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/migrated_app/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/migrated_app/migrations/0001_initial.py,23,21,1,0,1
tests/migrations/migrations_test_apps/with_package_model/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/with_package_model/models/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/mutate_state_a/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/mutate_state_a/migrations/__init__.py,0,0,1,0,0
tests/migrations/migrations_test_apps/mutate_state_a/migrations/0001_initial.py,29,26,1,0,1
tests/migrations/related_models_app/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_unmigdep/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_unmigdep/0001_initial.py,17,14,1,0,1
tests/migrations/test_migrations_squashed_partially_applied/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_squashed_partially_applied/0004_remove_mymodel1_field_1_mymodel1_field_3_and_more.py,22,19,1,0,1
tests/migrations/test_migrations_squashed_partially_applied/0001_initial.py,35,33,1,0,1
tests/migrations/test_migrations_squashed_partially_applied/0003_alter_mymodel2_unique_together.py,12,9,1,0,1
tests/migrations/test_migrations_squashed_partially_applied/0002_mymodel1_field_1_mymodel2_field_2_and_more.py,23,20,1,0,1
tests/migrations/test_migrations_fake_split_initial/0002_second.py,23,19,1,0,1
tests/migrations/test_migrations_fake_split_initial/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_fake_split_initial/0001_initial.py,29,26,1,0,1
tests/migrations/test_migrations_atomic_operation/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_atomic_operation/0001_initial.py,22,16,2,1,1
tests/migrations/test_migrations_squashed_double/0003_squashed_0001_and_0002.py,22,20,1,0,1
tests/migrations/test_migrations_squashed_double/0002_auto.py,12,10,1,0,1
tests/migrations/test_migrations_squashed_double/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_squashed_double/0004_auto.py,12,10,1,0,1
tests/migrations/test_migrations_squashed_double/0005_squashed_0003_and_0004.py,25,23,1,0,1
tests/migrations/test_migrations_squashed_double/0001_initial.py,21,19,1,0,1
tests/migrations/test_migrations/0002_second.py,23,20,1,0,1
tests/migrations/test_migrations/__init__.py,0,0,1,0,0
tests/migrations/test_migrations/0001_initial.py,34,31,1,0,1
tests/migrations/test_migrations_initial_false/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_initial_false/0001_not_initial.py,29,26,1,0,1
tests/migrations/test_migrations_squashed_no_replaces/0001_squashed_0002.py,23,21,1,0,1
tests/migrations/test_migrations_squashed_no_replaces/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_no_operations/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_no_operations/0001_initial.py,6,4,1,0,1
tests/migrations/test_migrations_conflict/0002_second.py,21,18,1,0,1
tests/migrations/test_migrations_conflict/0002_conflicting_second.py,14,11,1,0,1
tests/migrations/test_migrations_conflict/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_conflict/0001_initial.py,23,21,1,0,1
tests/migrations/test_migrations_run_before/0002_second.py,20,17,1,0,1
tests/migrations/test_migrations_run_before/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_run_before/0001_initial.py,14,12,1,0,1
tests/migrations/test_migrations_run_before/0003_third.py,27,19,1,0,1
tests/migrations/deprecated_field_migrations/0002_remove_ipaddressfield_ip.py,14,11,1,0,1
tests/migrations/deprecated_field_migrations/__init__.py,0,0,1,0,0
tests/migrations/deprecated_field_migrations/0001_initial.py,23,20,1,0,1
tests/migrations/test_add_many_to_many_field_initial/0002_initial.py,17,13,1,0,1
tests/migrations/test_add_many_to_many_field_initial/__init__.py,0,0,1,0,0
tests/migrations/test_add_many_to_many_field_initial/0001_initial.py,43,39,1,0,1
tests/migrations/test_fake_initial_case_insensitive/initial/__init__.py,0,0,1,0,0
tests/migrations/test_fake_initial_case_insensitive/initial/0001_initial.py,28,25,1,0,1
tests/migrations/test_fake_initial_case_insensitive/fake_initial/__init__.py,0,0,1,0,0
tests/migrations/test_fake_initial_case_insensitive/fake_initial/0001_initial.py,30,27,1,0,1
tests/migrations/test_migrations_bad_pyc/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_squashed_complex/4_auto.py,7,4,1,0,1
tests/migrations/test_migrations_squashed_complex/3_squashed_5.py,13,9,1,0,1
tests/migrations/test_migrations_squashed_complex/5_auto.py,7,4,1,0,1
tests/migrations/test_migrations_squashed_complex/7_auto.py,7,4,1,0,1
tests/migrations/test_migrations_squashed_complex/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_squashed_complex/6_auto.py,7,4,1,0,1
tests/migrations/test_migrations_squashed_complex/3_auto.py,7,4,1,0,1
tests/migrations/test_migrations_squashed_complex/2_auto.py,7,4,1,0,1
tests/migrations/test_migrations_squashed_complex/1_auto.py,5,3,1,0,1
tests/migrations/test_migrations_custom_user/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_custom_user/0001_initial.py,30,27,1,0,2
tests/migrations/test_migrations_order/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_order/0001.py,7,4,1,0,1
tests/migrations/test_migrations_squashed/0002_second.py,21,18,1,0,1
tests/migrations/test_migrations_squashed/0001_squashed_0002.py,31,28,1,0,1
tests/migrations/test_migrations_squashed/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_squashed/0001_initial.py,23,21,1,0,1
tests/migrations/test_migrations_namespace_package/0001_initial.py,15,12,1,0,1
tests/migrations/test_migrations_plan/0002_second.py,19,16,1,0,1
tests/migrations/test_migrations_plan/0004_fourth.py,9,6,2,0,1
tests/migrations/test_migrations_plan/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_plan/0001_initial.py,27,16,1,2,1
tests/migrations/test_migrations_plan/0003_third.py,19,16,1,0,1
tests/migrations/test_migrations_plan/0005_fifth.py,22,4,1,2,1
tests/migrations/test_migrations_non_atomic/__init__.py,0,0,1,0,0
tests/migrations/test_migrations_non_atomic/0001_initial.py,34,28,1,1,1
