filename,loc_physical,loc,cc,fan_in,fan_out
numpy/_core/tests/test__exceptions.py,90,39,9,7,4
numpy/_core/tests/test_extint128.py,217,165,48,15,8
numpy/_core/tests/test_cython.py,352,233,14,24,34
numpy/_core/tests/test_umath_complex.py,631,414,53,34,7
numpy/_core/tests/_locales.py,72,36,10,5,3
numpy/_core/tests/test_custom_dtypes.py,315,208,15,28,6
numpy/_core/tests/test_defchararray.py,853,652,18,107,4
numpy/_core/tests/test_conversion_utils.py,209,67,21,19,5
numpy/_core/tests/test_arrayobject.py,75,43,4,5,3
numpy/_core/tests/test_scalarprint.py,403,308,25,13,4
numpy/_core/tests/test_casting_unittests.py,955,97,131,31,10
numpy/_core/tests/test_abc.py,54,45,5,5,4
numpy/_core/tests/test_ufunc.py,3311,1950,266,209,17
numpy/_core/tests/test_dtype.py,1995,426,102,151,17
numpy/_core/tests/test_umath_accuracy.py,132,112,12,4,9
numpy/_core/tests/test_simd_module.py,105,84,11,8,2
numpy/_core/tests/test_getlimits.py,205,119,24,21,8
numpy/_core/tests/test_stringdtype.py,1855,939,186,97,13
numpy/_core/tests/test_strings.py,1468,1321,62,81,6
numpy/_core/tests/test_dlpack.py,190,138,3,21,4
numpy/_core/tests/test_einsum.py,1316,918,119,63,5
numpy/_core/tests/test_api.py,655,468,23,25,7
numpy/_core/tests/test_longdouble.py,369,21,17,29,6
numpy/_core/tests/test_overrides.py,800,558,50,83,12
numpy/_core/tests/test_scalar_ctors.py,203,101,10,20,3
numpy/_core/tests/test_multiarray.py,10767,3351,722,808,48
numpy/_core/tests/test_memmap.py,247,196,9,23,9
numpy/_core/tests/test_nditer.py,3495,1608,345,125,12
numpy/_core/tests/test_cpu_features.py,433,86,53,23,11
numpy/_core/tests/test_protocols.py,46,30,3,8,3
numpy/_core/tests/test_array_api_info.py,113,83,2,9,2
numpy/_core/tests/test_argparse.py,90,53,9,9,5
numpy/_core/tests/test_regression.py,2676,1897,172,298,23
numpy/_core/tests/examples/cython/setup.py,39,26,3,0,7
numpy/_core/tests/examples/limited_api/limited_api1.c,17,14,1,0,3
numpy/_core/tests/examples/limited_api/setup.py,24,14,1,0,3
numpy/_core/tests/examples/limited_api/limited_api_latest.c,19,16,2,0,3
numpy/_core/code_generators/generate_ufunc_api.py,219,143,21,3,5
