id,number,title,state,user,created_at,updated_at,comments,url
3512743072,165416,DISABLED test_unspec_inputs_int8_xpu (__main__.GPUTests),closed,etaf,2025-10-14T07:38:46Z,2025-10-17T22:34:30Z,2,https://github.com/pytorch/pytorch/issues/165416
3512742050,165415,DISABLED test_comprehensive_atanh_xpu_float16 (__main__.TestInductorOpInfoXPU),closed,etaf,2025-10-14T07:38:24Z,2025-10-17T22:34:22Z,2,https://github.com/pytorch/pytorch/issues/165415
3512740540,165414,DISABLED test_var_correction_xpu (__main__.GPUTests),closed,etaf,2025-10-14T07:37:51Z,2025-10-17T22:34:32Z,2,https://github.com/pytorch/pytorch/issues/165414
3512738556,165413,DISABLED test_correctness_RAdam_use_closure_True_xpu_float32 (__main__.CompiledOptimizerParityTestsXPU),closed,etaf,2025-10-14T07:37:10Z,2025-10-17T22:34:26Z,2,https://github.com/pytorch/pytorch/issues/165413
3512736518,165412,DISABLED test_unspec_inputs_int32_dynamic_shapes_xpu (__main__.DynamicShapesGPUTests),closed,etaf,2025-10-14T07:36:25Z,2025-10-17T22:34:29Z,2,https://github.com/pytorch/pytorch/issues/165412
3512735270,165411,DISABLED test_unspec_inputs_uint8_dynamic_shapes_xpu (__main__.DynamicShapesGPUTests),closed,etaf,2025-10-14T07:35:57Z,2025-10-17T22:34:31Z,2,https://github.com/pytorch/pytorch/issues/165411
3512710475,165409,[torch.compile][fullgraph][functionalization] In-place op on overlapped view from unfold fails: “tensor being mutated has internal overlap” (eager OK),open,tinywisdom,2025-10-14T07:27:03Z,2025-10-27T02:59:03Z,2,https://github.com/pytorch/pytorch/issues/165409
3512658854,165408,[torch.compile][fullgraph] Dynamo rejects comparing `data_ptr()` results (`Unsupported: Builtin operator.* comparison with constant self`),open,tinywisdom,2025-10-14T07:12:03Z,2025-10-19T23:14:00Z,0,https://github.com/pytorch/pytorch/issues/165408
3512647434,165407,Specific torch compile memory leak involving flash_attn_varlen_func,open,CoffeeVampir3,2025-10-14T07:08:37Z,2025-10-19T23:39:16Z,1,https://github.com/pytorch/pytorch/issues/165407
3512578683,165403,DISABLED test_div_by_zero_dynamic_shapes_xpu (__main__.DynamicShapesGPUTests),closed,daisyden,2025-10-14T06:42:25Z,2025-10-17T22:34:27Z,2,https://github.com/pytorch/pytorch/issues/165403
3512446217,165400,aten::bitwise_xor,open,RaminAI9,2025-10-14T05:44:44Z,2025-10-14T13:33:35Z,0,https://github.com/pytorch/pytorch/issues/165400
3512281837,165399,dist.reduce_scatter_tensor produce wrong output on some input shape,open,idning,2025-10-14T04:10:01Z,2025-10-17T05:59:18Z,3,https://github.com/pytorch/pytorch/issues/165399
3512244229,165398,Skipping combo kernel for large pointwise nodes,open,BoyuanFeng,2025-10-14T03:50:05Z,2025-10-24T16:38:10Z,0,https://github.com/pytorch/pytorch/issues/165398
3512207328,165396,error installing in python 3.14.0,closed,mcandre,2025-10-14T03:23:44Z,2025-10-16T08:02:40Z,3,https://github.com/pytorch/pytorch/issues/165396
3512166317,165395,[export] run_decompositions fails with index error,open,justinchuby,2025-10-14T02:57:28Z,2025-10-21T21:37:04Z,2,https://github.com/pytorch/pytorch/issues/165395
3512109878,165392,[Intel GPU] Conv1d produces incorrect results with permuted input under eager mode,open,etaf,2025-10-14T02:23:00Z,2025-10-14T07:16:49Z,1,https://github.com/pytorch/pytorch/issues/165392
3511974669,165389,DISABLED test_nested_masked_select_cpu (__main__.TestNestedTensorDeviceTypeCPU),open,pytorch-bot[bot],2025-10-14T01:06:34Z,2025-10-23T00:15:05Z,4,https://github.com/pytorch/pytorch/issues/165389
